Capability_ID,Domain,Capability_Name,V1_Description,V1_UI_Evidence,V1_API_Evidence,V1_Service_Evidence,V1_DB_Evidence,V1_Permission_Evidence,V1_Runtime_Depth,V1_Implementation_Status,Business_Criticality,Notes
CAP-001,Admin,AdminEmperor,PASS A feature record: AdminEmperor; logic=threshold logic; admin=no; tests=no.,AdminEmperor.tsx:370,yes GET — AdminEmperor.tsx:370,logic=threshold logic,db=yes (read),admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-082,Services,OtherServices,PASS A feature record: OtherServices; logic=service listing; admin=no; tests=no.,OtherServices.tsx:234,yes GET — OtherServices.tsx:234,logic=service listing,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-083,Organizations,PartnerDashboard,PASS A feature record: PartnerDashboard; logic=campaigns + leads + analytics; admin=partner_key; tests=no.,PartnerDashboard.tsx:507,yes multiple — PartnerDashboard.tsx:507,logic=campaigns + leads + analytics,db=yes,admin/guard=partner_key,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-084,Organizations,PartnerPortal,PASS A feature record: PartnerPortal; logic=no; admin=no; tests=no.,PartnerPortal.tsx:117,yes POST (login) — PartnerPortal.tsx:117,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-085,UX,PaymentReturn,PASS A feature record: PaymentReturn; logic=payment verification; admin=no; tests=no.,PaymentReturn.tsx:95,yes GET (verify) — PaymentReturn.tsx:95,logic=payment verification,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-086,Membership,Pricing,PASS A feature record: Pricing; logic=plan listing + promos; admin=no; tests=no.,Pricing.tsx:331,yes GET — Pricing.tsx:331,logic=plan listing + promos,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-087,Membership,PricingComingSoon,PASS A feature record: PricingComingSoon; logic=no; admin=no; tests=no.,PricingComingSoon.tsx:68,no — PricingComingSoon.tsx:68,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-088,UX,Privacy,PASS A feature record: Privacy; logic=no; admin=no; tests=no.,Privacy.tsx:195,no — Privacy.tsx:195,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-089,Identity,Profile,PASS A feature record: Profile; logic=ranks + badges + gallery; admin=no; tests=no.,Profile.tsx:960,yes GET — Profile.tsx:960,logic=ranks + badges + gallery,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-090,Identity,ProfilePage,PASS A feature record: ProfilePage; logic=alternative profile view; admin=no; tests=no.,ProfilePage.tsx:197,yes GET — ProfilePage.tsx:197,logic=alternative profile view,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-091,Identity,ProjectVerify,PASS A feature record: ProjectVerify; logic=QR verification chain; admin=no; tests=no.,ProjectVerify.tsx:235,yes GET — ProjectVerify.tsx:235,logic=QR verification chain,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-092,Properties,Properties,PASS A feature record: Properties; logic=map + filters + compare + favorites + save_search; admin=no (auth for save); tests=no.,Properties.tsx:1732,yes multiple — Properties.tsx:1732,logic=map + filters + compare + favorites + save_search,db=yes,admin/guard=no (auth for save),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-093,Properties,PropertyDetail,PASS A feature record: PropertyDetail; logic=gallery + map + finance + inquiry; admin=no (auth for actions); tests=no.,PropertyDetail.tsx:770,yes multiple — PropertyDetail.tsx:770,logic=gallery + map + finance + inquiry,db=yes,admin/guard=no (auth for actions),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-094,Identity,Register,PASS A feature record: Register; logic=registration form; admin=no; tests=no.,Register.tsx:812,yes POST — Register.tsx:812,logic=registration form,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-095,Identity,ResetPassword,PASS A feature record: ResetPassword; logic=token reset; admin=no; tests=no.,ResetPassword.tsx:122,yes POST — ResetPassword.tsx:122,logic=token reset,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-096,Services,ServiceDetail,PASS A feature record: ServiceDetail; logic=service detail; admin=no; tests=no.,ServiceDetail.tsx:182,yes GET — ServiceDetail.tsx:182,logic=service detail,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-097,Services,ServiceHub,PASS A feature record: ServiceHub; logic=artisan hub + bookings + reviews; admin=token; tests=no.,ServiceHub.tsx:2530,yes multiple — ServiceHub.tsx:2530,logic=artisan hub + bookings + reviews,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-098,Services,ServiceHubPage,PASS A feature record: ServiceHubPage; logic=no; admin=no; tests=no.,none recorded,no — ServiceHubPage.tsx — empty 0-byte file,logic=no,db=no,admin/guard=no,L0_IDEA_ONLY,V1_STUB,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-099,UX,Software,PASS A feature record: Software; logic=product showcase; admin=no; tests=no.,Software.tsx:175,yes GET — Software.tsx:175,logic=product showcase,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-100,Properties,SubmitProperty,PASS A feature record: SubmitProperty; logic=property creation form; admin=token; tests=no.,SubmitProperty.tsx:552,yes POST — SubmitProperty.tsx:552,logic=property creation form,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-101,UX,Subscribe,PASS A feature record: Subscribe; logic=payment gateway; admin=auth; tests=no.,Subscribe.tsx:774,yes multiple — Subscribe.tsx:774,logic=payment gateway,db=yes,admin/guard=auth,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-102,Services,SupplierDetail,PASS A feature record: SupplierDetail; logic=supplier profile; admin=no; tests=no.,SupplierDetail.tsx:129,yes GET — SupplierDetail.tsx:129,logic=supplier profile,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-103,Services,Suppliers,PASS A feature record: Suppliers; logic=marketplace listing; admin=no; tests=no.,Suppliers.tsx:230,yes GET — Suppliers.tsx:230,logic=marketplace listing,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-104,Chat,TechnicianInbox,PASS A feature record: TechnicianInbox; logic=real-time job inbox + ringing; admin=token; tests=no.,TechnicianInbox.tsx:745,yes multiple — TechnicianInbox.tsx:745,logic=real-time job inbox + ringing,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-105,UX,TechnicianSettings,PASS A feature record: TechnicianSettings; logic=settings update; admin=token; tests=no.,TechnicianSettings.tsx:319,yes PUT — TechnicianSettings.tsx:319,logic=settings update,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-106,Services,TenderCreate,PASS A feature record: TenderCreate; logic=tender creation form; admin=token; tests=no.,TenderCreate.tsx:134,yes POST — TenderCreate.tsx:134,logic=tender creation form,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-107,Services,TenderDetail,PASS A feature record: TenderDetail; logic=bid submission + award; admin=token; tests=no.,TenderDetail.tsx:318,yes multiple — TenderDetail.tsx:318,logic=bid submission + award,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-108,Services,Tenders,PASS A feature record: Tenders; logic=listing with filters; admin=no (auth for create); tests=no.,Tenders.tsx:183,yes GET — Tenders.tsx:183,logic=listing with filters,db=yes,admin/guard=no (auth for create),L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-109,UX,Terms,PASS A feature record: Terms; logic=no; admin=no; tests=no.,Terms.tsx:160,no — Terms.tsx:160,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-110,Tools,Tools,PASS A feature record: Tools; logic=coordinate + UTM + area + deed; admin=no (auth for some); tests=no.,Tools.tsx:2034,yes multiple — Tools.tsx:2034,logic=coordinate + UTM + area + deed,db=yes,admin/guard=no (auth for some),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-111,Services,UpgradeToArtisan,PASS A feature record: UpgradeToArtisan; logic=account upgrade; admin=token; tests=no.,UpgradeToArtisan.tsx:164,yes GET — UpgradeToArtisan.tsx:164,logic=account upgrade,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-112,Services,VehicleServices,PASS A feature record: VehicleServices; logic=vehicle service marketplace; admin=no; tests=no.,VehicleServices.tsx:1192,yes multiple — VehicleServices.tsx:1192,logic=vehicle service marketplace,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-113,Notifications,VerifyEmail,PASS A feature record: VerifyEmail; logic=token verification; admin=no; tests=no.,VerifyEmail.tsx:76,yes POST — VerifyEmail.tsx:76,logic=token verification,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-114,Office Integration,VerifyLicense,PASS A feature record: VerifyLicense; logic=license validation; admin=no; tests=no.,VerifyLicense.tsx:150,yes POST — VerifyLicense.tsx:150,logic=license validation,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-115,UX,WriteBlog,PASS A feature record: WriteBlog; logic=blog creation form; admin=token; tests=no.,WriteBlog.tsx:139,yes POST — WriteBlog.tsx:139,logic=blog creation form,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-116,Admin,AdminMarketers,PASS A feature record: AdminMarketers; logic=marketer approval + ranks; admin=admin role; tests=no.,marketer/AdminMarketers.tsx:287,yes multiple — marketer/AdminMarketers.tsx:287,logic=marketer approval + ranks,db=yes,admin/guard=admin role,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-117,Ads,AdvertiserContracts,PASS A feature record: AdvertiserContracts; logic=contract sign/decline; admin=token; tests=no.,marketer/AdvertiserContracts.tsx:120,yes multiple — marketer/AdvertiserContracts.tsx:120,logic=contract sign/decline,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-118,Ads,AdvertiserProposals,PASS A feature record: AdvertiserProposals; logic=proposal accept/reject; admin=token; tests=no.,marketer/AdvertiserProposals.tsx:128,yes multiple — marketer/AdvertiserProposals.tsx:128,logic=proposal accept/reject,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-119,Properties,AvailableProperties,PASS A feature record: AvailableProperties; logic=property browsing + proposals; admin=token; tests=no.,marketer/AvailableProperties.tsx:141,yes GET+POST — marketer/AvailableProperties.tsx:141,logic=property browsing + proposals,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-120,UX,MarketerContracts,PASS A feature record: MarketerContracts; logic=contract management; admin=token; tests=no.,marketer/MarketerContracts.tsx:122,yes multiple — marketer/MarketerContracts.tsx:122,logic=contract management,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-121,Identity,MarketerProfile,PASS A feature record: MarketerProfile; logic=profile view; admin=token; tests=no.,marketer/MarketerProfile.tsx:155,yes GET — marketer/MarketerProfile.tsx:155,logic=profile view,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-122,UX,MarketerProposals,PASS A feature record: MarketerProposals; logic=proposal tracking; admin=token; tests=no.,marketer/MarketerProposals.tsx:84,yes GET — marketer/MarketerProposals.tsx:84,logic=proposal tracking,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-123,Identity,MarketerRegister,PASS A feature record: MarketerRegister; logic=registration + code of conduct; admin=token; tests=no.,marketer/MarketerRegister.tsx:222,yes POST — marketer/MarketerRegister.tsx:222,logic=registration + code of conduct,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-124,Geography,SmartLanding,PASS A feature record: SmartLanding; logic=URL param → geo + analytics; admin=no; tests=no.,none recorded,yes (analytics POST) — useSmartLanding.ts:190,logic=URL param → geo + analytics,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-125,Authorization,SmartLandingBanner,PASS A feature record: SmartLandingBanner; logic=category → CTA banner; admin=no; tests=no.,SmartLandingBanner.tsx:279,no — SmartLandingBanner.tsx:279,logic=category → CTA banner,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-126,Authorization,GeoAdBanner,PASS A feature record: GeoAdBanner; logic=tier display + tracking; admin=no; tests=no.,GeoAdBanner.tsx:135,yes POST (track) — GeoAdBanner.tsx:135,logic=tier display + tracking,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-127,Chat,UnifiedInbox,PASS A feature record: UnifiedInbox; logic=4-type inbox + status flow; admin=no; tests=no.,UnifiedInbox.tsx:516,no (lib + localStorage) — UnifiedInbox.tsx:516,logic=4-type inbox + status flow,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-128,UX,AccountSwitcher,PASS A feature record: AccountSwitcher; logic=personal↔company switch; admin=no; tests=no.,AccountSwitcher.tsx:68,no (context) — AccountSwitcher.tsx:68,logic=personal↔company switch,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-129,UX,EliteBadge,PASS A feature record: EliteBadge; logic=2 title values only; admin=no; tests=no.,EliteBadge.tsx:53,no — EliteBadge.tsx:53,logic=2 title values only,db=no,admin/guard=no,L2_DATA_MODEL_ONLY,L2_DATA_MODEL_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-130,UX,InvestmentGauge,PASS A feature record: InvestmentGauge; logic=scoring formula (base 50 + mods); admin=no; tests=no.,InvestmentGauge.tsx:80,no — InvestmentGauge.tsx:80,logic=scoring formula (base 50 + mods),db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-131,Properties,PropertyFinanceTools,PASS A feature record: PropertyFinanceTools; logic=PMT + flexible + fixed formulas; admin=no; tests=no.,PropertyFinanceTools.tsx:255,no — PropertyFinanceTools.tsx:255,logic=PMT + flexible + fixed formulas,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-132,Tools,MortgageCalculator,PASS A feature record: MortgageCalculator; logic=PMT formula (duplicated); admin=no; tests=no.,MortgageCalculator.tsx:116,no — MortgageCalculator.tsx:116,logic=PMT formula (duplicated),db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-133,UX,SaveSearchButton,PASS A feature record: SaveSearchButton; logic=filter cleaning + dialog; admin=no; tests=no.,SaveSearchButton.tsx:116,yes POST — SaveSearchButton.tsx:116,logic=filter cleaning + dialog,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-134,UX,MapMyDeed,PASS A feature record: MapMyDeed; logic=OCR → UTM → WGS84 → Leaflet; admin=no; tests=no.,MapMyDeed.tsx:595,yes (dynamic import) — MapMyDeed.tsx:595,logic=OCR → UTM → WGS84 → Leaflet,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-135,UX,ShareButton,PASS A feature record: ShareButton; logic=Web Share API + clipboard; admin=no; tests=no.,ShareButton.tsx:70,no — ShareButton.tsx:70,logic=Web Share API + clipboard,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-136,UX,ShareModal,PASS A feature record: ShareModal; logic=4 share channels + clipboard; admin=no; tests=no.,ShareModal.tsx:131,no — ShareModal.tsx:131,logic=4 share channels + clipboard,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-137,Chat,ChatApp,PASS A feature record: ChatApp; logic=real-time messaging; admin=no; tests=no.,ChatApp (via ChatContext),yes (WS via context) — ChatApp (via ChatContext),logic=real-time messaging,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-138,UX,BOQEngine,PASS A feature record: BOQEngine; logic=BOQ quantities from project config; admin=no; tests=no.,BOQEngine.tsx:643,no — BOQEngine.tsx:643,logic=BOQ quantities from project config,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-139,UX,DrawingEngine,PASS A feature record: DrawingEngine; logic=DXF drawing set generation; admin=no; tests=no.,DrawingEngine.tsx:713,no — DrawingEngine.tsx:713,logic=DXF drawing set generation,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-140,UX,PriceManager,PASS A feature record: PriceManager; logic=BOQ × rates + VAT + contingency; admin=no; tests=no.,PriceManager.tsx:401,no — PriceManager.tsx:401,logic=BOQ × rates + VAT + contingency,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-141,UX,ConsultantValidationEngine,PASS A feature record: ConsultantValidationEngine; logic=5-pillar stamp workflow + hash; admin=no; tests=no.,ConsultantValidationEngine.tsx:822,no — ConsultantValidationEngine.tsx:822,logic=5-pillar stamp workflow + hash,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-142,Geography,ClimateGeoEngine,PASS A feature record: ClimateGeoEngine; logic=IBC/SBC/TSE code mapping; admin=no; tests=no.,ClimateGeoEngine.tsx:748,no — ClimateGeoEngine.tsx:748,logic=IBC/SBC/TSE code mapping,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-143,UX,SeismicProtectionEngine,PASS A feature record: SeismicProtectionEngine; logic=isolator BOQ + SDC calcs; admin=no; tests=no.,SeismicProtectionEngine.tsx:574,no — SeismicProtectionEngine.tsx:574,logic=isolator BOQ + SDC calcs,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-144,UX,RetailMallEngine,PASS A feature record: RetailMallEngine; logic=anchor/egress/BOH calcs; admin=no; tests=no.,RetailMallEngine.tsx:789,no — RetailMallEngine.tsx:789,logic=anchor/egress/BOH calcs,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-145,UX,MedSpecialtyEngine,PASS A feature record: MedSpecialtyEngine; logic=star rating + gas points; admin=no; tests=no.,MedSpecialtyEngine.tsx:655,no — MedSpecialtyEngine.tsx:655,logic=star rating + gas points,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-146,UX,InstitutionalSovereignEngine,PASS A feature record: InstitutionalSovereignEngine; logic=STC/security/redundancy; admin=no; tests=no.,InstitutionalSovereignEngine.tsx:634,no — InstitutionalSovereignEngine.tsx:634,logic=STC/security/redundancy,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-147,Authorization,BankingSecurityEngine,PASS A feature record: BankingSecurityEngine; logic=vault/ballistic/seismic calcs; admin=no; tests=no.,BankingSecurityEngine.tsx:569,no — BankingSecurityEngine.tsx:569,logic=vault/ballistic/seismic calcs,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-148,UX,FireSafetyEngine,PASS A feature record: FireSafetyEngine; logic=NFPA sprinkler/FD/smoke; admin=no; tests=no.,FireSafetyEngine.tsx:483,no — FireSafetyEngine.tsx:483,logic=NFPA sprinkler/FD/smoke,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-149,Tools,AcademicSpecialtyEngine,PASS A feature record: AcademicSpecialtyEngine; logic=ISO 11428 + Sabine RT60; admin=no; tests=no.,AcademicSpecialtyEngine.tsx:566,no — AcademicSpecialtyEngine.tsx:566,logic=ISO 11428 + Sabine RT60,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-150,Tools,CADGeometryEngine,PASS A feature record: CADGeometryEngine; logic=DXF take-off + BOQ delta; admin=no; tests=no.,CADGeometryEngine.ts:373,no — CADGeometryEngine.ts:373,logic=DXF take-off + BOQ delta,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-151,Tools,CADParser,PASS A feature record: CADParser; logic=ASCII DXF parsing; admin=no; tests=no.,none recorded,no — CADParser.ts:268,logic=ASCII DXF parsing,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-152,UX,BIMViewer,PASS A feature record: BIMViewer; logic=Three.js 3D from DXF; admin=no; tests=no.,BIMViewer.tsx:323,no — BIMViewer.tsx:323,logic=Three.js 3D from DXF,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-153,UX,Building3DVisualizer,PASS A feature record: Building3DVisualizer; logic=Three.js facade preview; admin=no; tests=no.,Building3DVisualizer.tsx:227,no — Building3DVisualizer.tsx:227,logic=Three.js facade preview,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-154,Geography,LandGeometryModule,PASS A feature record: LandGeometryModule; logic=Shoelace formula area calc; admin=no; tests=no.,LandGeometryModule.tsx:541,no — LandGeometryModule.tsx:541,logic=Shoelace formula area calc,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-155,UX,MosqueEngine,PASS A feature record: MosqueEngine; logic=Qibla + capacity + acoustics; admin=no; tests=no.,MosqueEngine.tsx:374,no — MosqueEngine.tsx:374,logic=Qibla + capacity + acoustics,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-156,UX,K12SchoolEngine,PASS A feature record: K12SchoolEngine; logic=daylight/capacity/ventilation; admin=no; tests=no.,K12SchoolEngine.tsx:339,no — K12SchoolEngine.tsx:339,logic=daylight/capacity/ventilation,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-157,UX,IndustrialEngine,PASS A feature record: IndustrialEngine; logic=crane/hazmat/floor load; admin=no; tests=no.,IndustrialEngine.tsx:356,no — IndustrialEngine.tsx:356,logic=crane/hazmat/floor load,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-158,UX,HighRiseStructuralEngine,PASS A feature record: HighRiseStructuralEngine; logic=wind/drift/TMD analysis; admin=no; tests=no.,HighRiseStructuralEngine.tsx:394,no — HighRiseStructuralEngine.tsx:394,logic=wind/drift/TMD analysis,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-159,UX,LandscapeIrrigationEngine,PASS A feature record: LandscapeIrrigationEngine; logic=PET-based water demand; admin=no; tests=no.,LandscapeIrrigationEngine.tsx:354,no — LandscapeIrrigationEngine.tsx:354,logic=PET-based water demand,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
