feature_id,source_generation,domain,feature,subfeature,v1_depth,v1_status,old_status,current_status,office_status,ui_status,api_status,db_status,authorization_status,realtime_status,notification_status,test_status,decision,priority,target_phase,regression_risk,v1_evidence,old_evidence,current_evidence,office_evidence,notes
MSG-010,ROUND-1 (V2 lineage),J,Context: offer conversation,per-offer thread,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**MISSING** — this is the missing primitive that makes MSG-009 leak,NOT APPLICABLE,MISSING,MISSING,MISSING,MISSING,NONE,NONE,none,NEW IMPROVEMENT,**P0**,Phase 1,High,not assessed in round 1,none found,**does not exist** — no offer value in MESSAGE_CONTEXT (lib/services/message-contexts.ts:19-27); REPORT_TARGETS has offer but messaging does not (lib/services/marketplace.ts:1650),none,Private thread between the customer and ONE bidding provider || admin: none
MSG-011,ROUND-1 (V2 lineage),J,Context: service-order conversation,order (legacy value for SERVICE_JOB),NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,"**FULL** — correctly isolated 1:1, both sides derived, notify fires",NOT APPLICABLE,FULL,FULL,FULL,FULL,NONE,in-app,tests/messages-contract.test.mjs:109-123,KEEP,P2,—,Low,not assessed in round 1,hist/old-tag/app/api/services/messages/route.ts:64-69 (both-sides check present),"lib/services/marketplace.ts:1917-1922, 1958-1966; UI app/dashboard/services/jobs/[id]/page.tsx:194",none,Customer↔provider on an accepted job || admin: none
MSG-012,ROUND-1 (V2 lineage),J,Context: office conversations,office staff / device threads,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**MISSING**,NOT APPLICABLE,MISSING,MISSING,MISSING,MISSING,NONE,NONE,none,NEW IMPROVEMENT,P2,Phase 3,Med,not assessed in round 1,none found,"**none** — app/api/office/v1/ has ads, auth, devices, media, news, notifications, pairing, radar, stream, sync — **no messages**",none (no message tables in AkarDB.sqlite),Office↔HQ or office↔office messaging inside the Office workspace || admin: none
MSG-013,ROUND-1 (V2 lineage),J,Context: company conversations,internal company threads,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING,NOT APPLICABLE,MISSING,MISSING,PARTIAL,MISSING,NONE,NONE,none,NEW IMPROVEMENT,P2,Phase 3,Med,not assessed in round 1,none found,"**none** — service_message_participants stores a flat user list with role always hardcoded ""participant"" (lib/services/marketplace.ts:1820); no org-as-participant concept",none,Members of a company conversing as the company || admin: none
MSG-014,ROUND-1 (V2 lineage),J,Context: organization conversations,organization context,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**PARTIAL — the only correct entry point is DEAD CODE**: organization-profile-page.tsx has **zero importers** (grep across app/src); the live route app/organizations/[id]/page.tsx contains no messaging at all,NOT APPLICABLE,BROKEN (unreachable),FULL,FULL,FULL,NONE,in-app,tests/messages-contract.test.mjs:125-168,FIX REGRESSION,P1,Phase 1,High,not assessed in round 1,none found,lib/services/message-contexts.ts:26; src/components/public/organization-profile-page.tsx:186-194 passes participantIds=[contactEmail],none,Visitor↔organization (office/company) conversation || admin: none
MSG-015,ROUND-1 (V2 lineage),J,Context: land/surveyor conversations,FindMyLand threads,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING,NOT APPLICABLE,MISSING,MISSING,MISSING,MISSING,NONE,NONE,none,NEW IMPROVEMENT,P3,Phase 3,Low,not assessed in round 1,none found,**none** — no land/surveyor/parcel value in MESSAGE_CONTEXT (lib/services/message-contexts.ts:19-27) and no land case in deep-links.ts:4-23,none,Conversation with a surveyor about a parcel || admin: none
MSG-016,ROUND-1 (V2 lineage),J,Inbox,central inbox page,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**BETTER THAN OLD** — works, but N+2 queries per thread inside a loop (:2046,2058) and no pagination",NOT APPLICABLE,FULL,FULL,FULL,FULL,NONE,n/a,tests/messages-contract.test.mjs:93-106,KEEP + IMPROVE,P1,Phase 2,Med,not assessed in round 1,none found — old-tag had **no inbox at all**,app/dashboard/services/inbox/page.tsx:24-111; data lib/services/marketplace.ts:2009-2075,none,One page listing every conversation across all contexts || admin: none
MSG-017,ROUND-1 (V2 lineage),J,Thread list,list + unread pill + timestamp,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"PARTIAL — label is only the context name or a title; **no counterparty name, no last-message preview** (listInbox never selects a message body)",NOT APPLICABLE,PARTIAL,PARTIAL,FULL,FULL,NONE,n/a,contract test asserts labels only (:70),KEEP + IMPROVE,P1,Phase 2,Med,not assessed in round 1,none found,app/dashboard/services/inbox/page.tsx:71-91,none,Left column of the inbox || admin: none
MSG-018,ROUND-1 (V2 lineage),J,Thread detail,message pane + composer,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,BETTER THAN OLD,NOT APPLICABLE,FULL,FULL,FULL,FULL,NONE,n/a,tests/messages-contract.test.mjs:72,KEEP + IMPROVE,P2,Phase 2,Low,not assessed in round 1,"none found (old-tag returned raw JSON only, no UI)",src/components/services/ThreadMessages.tsx:69-113,none,Right column / job-page embed || admin: none
MSG-019,ROUND-1 (V2 lineage),J,Participants,participants model,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"PARTIAL — role column exists but is always written ""participant"" (lib/services/marketplace.ts:1820); no owner/admin/observer roles, no leave/remove, no is_active",NOT APPLICABLE,MISSING (not shown in UI),PARTIAL,FULL,FULL,NONE,n/a,tests/messages-contract.test.mjs:160-162,KEEP + IMPROVE,P1,Phase 2,Med,not assessed in round 1,none found — old-tag had **no participants table**,lib/services-marketplace-schema.ts:292-300 service_message_participants; unique index :361,none,Who is in a thread || admin: none
MSG-020,ROUND-1 (V2 lineage),J,Participant resolution,implicit owner derivation,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,"**PARTIAL** — property, property_request, organization, general have **no** implicit branch, which is the root cause of MSG-002",NOT APPLICABLE,n/a,FULL,FULL,PARTIAL,NONE,n/a,tests/messages-contract.test.mjs:176-179,FIX REGRESSION,**P0**,Phase 1,High,not assessed in round 1,hist/old-tag/app/api/services/messages/route.ts:64-73 (order only),"lib/services/marketplace.ts:1915-1943 — implicit branches exist for order, request, professional **only**",none,Deriving participants from the owning entity || admin: none
MSG-021,ROUND-1 (V2 lineage),J,Send message,POST message,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL (unauthorized),"**BETTER THAN OLD** — participant check at :26-29, 4000-char cap :21, context enum :22",NOT APPLICABLE,FULL,FULL,FULL,FULL,NONE,fires SERVICE_MESSAGE when recipient resolves,"tests/messages-contract.test.mjs:61-62,86",KEEP,P2,—,Low,not assessed in round 1,hist/old-tag/app/api/services/messages/route.ts:16-47 (no participant check on POST),app/api/service-messages/route.ts:10-43 → sendMessageFull (lib/services/marketplace.ts:1861-1887),none,Post a message into a thread || admin: none
MSG-022,ROUND-1 (V2 lineage),J,Receive messages,GET thread,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,FULL for order/participant contexts; **LEAKY for request**,NOT APPLICABLE,FULL,FULL,FULL,PARTIAL,NONE,n/a,"tests/messages-contract.test.mjs:63-64,89-91",FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,hist/old-tag/…/route.ts:49-77,app/api/service-messages/threads/[threadType]/[threadId]/route.ts:12-28,none,Read a thread's messages || admin: none
MSG-023,ROUND-1 (V2 lineage),J,Realtime,live delivery of new messages,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**MISSING (STUB)** — new messages appended optimistically client-side only (ThreadMessages.tsx:54-60),NOT APPLICABLE,MISSING,MISSING,n/a,n/a,NONE,NONE,none,NEW IMPROVEMENT,P1,Phase 2,High,not assessed in round 1,none found,"**none.** ThreadMessages.tsx:31-39 is a single fetch on mount, no interval, no EventSource; the only text/event-stream in the repo is app/api/office/v1/stream/route.ts:44-51 (device events) and it is inert — DbRealtimeTransport.publish (lib/integration/realtime.ts:26) has **zero callers**",none,Other party sees a message without reloading || admin: none
MSG-024,ROUND-1 (V2 lineage),J,Unread counts,per-thread unread,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL — correct but O(messages) per thread per inbox load; no index-backed counter,NOT APPLICABLE,FULL,FULL,PARTIAL,FULL,NONE,n/a,"tests/messages-contract.test.mjs:98,102,151",KEEP + IMPROVE,P2,Phase 2,Med,not assessed in round 1,none found,lib/services/marketplace.ts:2052-2056 computed in JS over the full message set,none,Count of unread messages per conversation || admin: none
MSG-025,ROUND-1 (V2 lineage),J,Unread counts,global inbox badge,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**STUB** — badge is permanently 0,NOT APPLICABLE,STUB,STUB,n/a,n/a,NONE,NONE,none,FIX REGRESSION,P1,Phase 2,Med,not assessed in round 1,none found,"**hardcoded zero**: app/api/service-dashboard/counts/route.ts:44 unreadMessages: 0, // placeholder for inbox unread, consumed by src/config/sidebar.ts:43 badgeKey:""unreadMessages""",none,Sidebar badge for total unread messages || admin: none
MSG-026,ROUND-1 (V2 lineage),J,Read state,mark-thread-read,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**PARTIAL** — read state is **global per message, not per reader**. markThreadRead sets is_read=1 for all messages not sent by the reader (:1901), so in a leaky request thread provider B's read clears provider A's unread. No per-participant last_read_at",NOT APPLICABLE,FULL,FULL,PARTIAL,PARTIAL,NONE,n/a,tests/messages-contract.test.mjs:104-106,FIX REGRESSION,P1,Phase 2,High,not assessed in round 1,none found — old-tag schema has **no is_read** (hist/old-tag / lib/services-schema.ts:80-87),lib/services/marketplace.ts:1898-1904; columns added by ALTER lib/services-marketplace-schema.ts:79-80; auto-marked on GET app/api/service-messages/threads/[threadType]/[threadId]/route.ts:26,none,Marking incoming messages read || admin: none
MSG-027,ROUND-1 (V2 lineage),J,Typing indicator,"""X is typing…""",NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING,NOT APPLICABLE,MISSING,MISSING,MISSING,n/a,NONE,NONE,none,NEW IMPROVEMENT,P3,Phase 3,Low,not assessed in round 1,none found,"**none** — grep for typing/isTyping across lib/services, app/api/service-messages, src/components/services returns nothing",none,— || admin: none
MSG-028,ROUND-1 (V2 lineage),J,Attachments,file/image in a message,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**MISSING**,NOT APPLICABLE,MISSING,MISSING,DECLARED ONLY,n/a,NONE,NONE,none,NEW IMPROVEMENT,P1,Phase 2,Med,not assessed in round 1,none found,"**table only, no code**: lib/db/schemas/messages-schema.ts:38-47 message_attachments — no API, no UI, and **no migration creates it** (grep for message in drizzle/*.sql and drizzle-pg/*.sql returns nothing). Raw-SQL family has no attachment column at all (lib/services-schema.ts:80-87)",none,Sending a photo or document in a conversation || admin: none
MSG-029,ROUND-1 (V2 lineage),J,Archive thread,hide a conversation,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**MISSING (STUB)**,NOT APPLICABLE,MISSING,MISSING,DECLARED ONLY,n/a,NONE,NONE,none,NEW IMPROVEMENT,P2,Phase 3,Low,not assessed in round 1,none found,"**declared, never used**: lib/db/schemas/messages-schema.ts:11 isArchived on the unused Drizzle table; nothing in the raw-SQL family",none,— || admin: none
MSG-030,ROUND-1 (V2 lineage),J,Mute thread,silence notifications for a thread,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING,NOT APPLICABLE,MISSING,MISSING,MISSING,n/a,NONE,NONE,none,NEW IMPROVEMENT,P2,Phase 3,Low,not assessed in round 1,none found,**none** (grep mute → no messaging hits),none,— || admin: none
MSG-031,ROUND-1 (V2 lineage),J,Block user,stop a user contacting you,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING,NOT APPLICABLE,MISSING,MISSING,MISSING,n/a,NONE,NONE,none,NEW IMPROVEMENT,P1,Phase 3,Med,not assessed in round 1,none found,**none** (grep blockUser/block_user → nothing),none,— || admin: none
MSG-032,ROUND-1 (V2 lineage),J,Report a message,flag abusive content,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**MISSING**,NOT APPLICABLE,MISSING,MISSING,n/a,n/a,NONE,NONE,none,NEW IMPROVEMENT,P1,Phase 2,High,not assessed in round 1,none found,"**not reportable**: REPORT_TARGETS = [""review"",""listing"",""request"",""offer"",""provider"",""order""] (lib/services/marketplace.ts:1650) — no message/thread/user target",none,— || admin: none
MSG-033,ROUND-1 (V2 lineage),J,Message search,search inside conversations,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING,NOT APPLICABLE,MISSING,MISSING,MISSING,n/a,NONE,NONE,none,NEW IMPROVEMENT,P2,Phase 3,Low,not assessed in round 1,none found,**none** — threadMessages is SELECT * … ORDER BY created_at ASC LIMIT 200 with no filter (lib/services/marketplace.ts:1892); no FTS index in either schema,none,— || admin: none
MSG-034,ROUND-1 (V2 lineage),J,Context card,context label + title in the thread header,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"PARTIAL — label + truncated id only; **no entity thumbnail, price, status, or counterparty identity**; no tr locale (labels are ar/en only, platform is ar/en/tr)",NOT APPLICABLE,PARTIAL,FULL,FULL,n/a,NONE,n/a,"tests/messages-contract.test.mjs:70,72,199-204",KEEP + IMPROVE,P2,Phase 2,Low,not assessed in round 1,none found,"lib/services/message-contexts.ts:43-57 MESSAGE_CONTEXT_LABELS ar/en; rendered src/components/services/ThreadMessages.tsx:73, app/dashboard/services/inbox/page.tsx:73",none,Shows what the conversation is about || admin: none
MSG-035,ROUND-1 (V2 lineage),J,Deep links,canonical contextLinkFor,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL — professional should link to /providers/{id} but falls through to the inbox (:77-79),NOT APPLICABLE,FULL,FULL,n/a,n/a,NONE,used by notify,"tests/messages-contract.test.mjs:203,207-208",KEEP + IMPROVE,P2,Phase 2,Low,not assessed in round 1,none found,lib/services/message-contexts.ts:64-81 — 5 entity links + inbox fallback for general/professional,none,Link from a conversation/notification to the entity || admin: none
MSG-036,ROUND-1 (V2 lineage),J,Deep links,"second, divergent taxonomy",NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**DEAD CODE with a richer model than the live one** — it is the only place office and company are first-class, and the only place icons/colors per context exist",NOT APPLICABLE,MISSING,n/a,n/a,n/a,NONE,NONE,none,MERGE INTO NEW SYSTEM,P1,Phase 2,Med,not assessed in round 1,none found,"lib/services/messaging/deep-links.ts:1-69 — **9 contexts** (property, property_request, service, service_request, professional, office, company, organization, general) that do **not** match MESSAGE_CONTEXT's 7; **zero consumers** (grep for getDeepLink, getContextIcon, getContextColor finds only the definitions)",none,getDeepLink/getContextLabel/getContextIcon/getContextColor || admin: none
MSG-037,ROUND-1 (V2 lineage),J,Notification integration,new-message notification,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**PARTIAL** — fires only when resolveRecipientUserId returns non-null; silently skipped for property/property_request/general with an empty participant list (:1872); only ONE recipient is ever notified even in a multi-party thread (:1976),NOT APPLICABLE,n/a,FULL,FULL,FULL,NONE,in-app only,none for the notify path,FIX REGRESSION,P1,Phase 1,High,not assessed in round 1,none found — old-tag had **no notifications at all**,"lib/services/marketplace.ts:1875-1882 notify(recipient, {type:""SERVICE_MESSAGE"", …})",none,In-app notification when someone messages you || admin: none
MSG-038,ROUND-1 (V2 lineage),J,Mobile behaviour,responsive inbox,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"PARTIAL — stacks but there is no master/detail switch, so on mobile you scroll past the whole thread list to reach every message",NOT APPLICABLE,PARTIAL,n/a,n/a,n/a,NONE,n/a,none,KEEP + IMPROVE,P2,Phase 2,Med,not assessed in round 1,none found,app/dashboard/services/inbox/page.tsx:69 grid lg:grid-cols-[300px_1fr] — below lg the list and the pane stack vertically with **no back navigation**; ThreadMessages.tsx:76 fixes max-h-[380px],none,Usable inbox on a phone || admin: none
MSG-039,ROUND-1 (V2 lineage),J,Pagination,thread + inbox paging,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL (same 200 cap),"**PARTIAL — unchanged since old**; a 201-message thread silently loses its oldest messages, and a heavy user's inbox is an unbounded N+2 query fan-out",NOT APPLICABLE,MISSING,PARTIAL,n/a,n/a,NONE,n/a,none,KEEP + IMPROVE,P1,Phase 2,Med,not assessed in round 1,hist/old-tag/lib/services/core.ts:527 LIMIT 200,"lib/services/marketplace.ts:1892 LIMIT 200 (hard cap, no cursor, no offset); listInbox has **no limit at all** (:2009-2075) and loops every thread",none,Loading older messages / more threads || admin: none
MSG-040,ROUND-1 (V2 lineage),J,Message validation / limits,body limits + context enum,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,**BETTER THAN OLD** — but the Drizzle family validates **nothing** (app/api/messages/[id]/route.ts:26 inserts body.content unchecked; app/api/messages/route.ts:37-39 inserts body.recipientId as a participant unchecked). Silent truncation at 4000 rather than a 400. thread_type VARCHAR(16) (lib/services-schema.ts:82) is exactly the length of property_request — no headroom,NOT APPLICABLE,n/a,PARTIAL,PARTIAL,n/a,NONE,n/a,tests/messages-contract.test.mjs:205-206,KEEP + IMPROVE,P1,Phase 1,Med,not assessed in round 1,"hist/old-tag/app/api/services/messages/route.ts:27-32 — enum of 2, **no length cap**","app/api/service-messages/route.ts:21 .slice(0,4000); :22 isMessageContext; core re-validates lib/services/marketplace.ts:1863-1864; title 200 / contextLink 500 (threads/route.ts:30-31)",none,Rejecting bad input || admin: none
MSG-041,ROUND-1 (V2 lineage),J,Moderation / admin,message reports queue,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**MISSING** — admins cannot see, search, or act on any conversation",NOT APPLICABLE,MISSING,MISSING,n/a,FULL (for other targets),NONE,NONE,none,NEW IMPROVEMENT,P1,Phase 2,High,not assessed in round 1,none found,"reports exist (app/api/service-reports/route.ts:11-26, admin UI app/admin/reports/), but **no message target** (lib/services/marketplace.ts:1650) and moderateTarget has no message action (:1714-1731)",none,Admin reviewing reported messages || admin: app/admin/reports-admin-client.tsx
MSG-042,ROUND-1 (V2 lineage),J,System messages,is_system flag,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,STUB,"**STUB** — column preserved, no writer, no renderer (ThreadMessages.tsx:80-96 ignores it)",NOT APPLICABLE,MISSING,MISSING,DECLARED ONLY,n/a,NONE,NONE,none,NEW IMPROVEMENT,P2,Phase 2,Low,not assessed in round 1,hist/old-tag/lib/services/core.ts:516 column exists,lib/services-schema.ts:85 is_system; sendMessageFull always writes 0 (lib/services/marketplace.ts:1869),none,"Automated in-thread status notes (""offer accepted"") || admin: none"
MSG-043,ROUND-1 (V2 lineage),J,Thread metadata,title + context link,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**BETTER THAN OLD** — but no last_message_at, no is_archived, no created_by (all three exist on the unused Drizzle table lib/db/schemas/messages-schema.ts:9-12)",NOT APPLICABLE,FULL,FULL,PARTIAL,n/a,NONE,n/a,tests/messages-contract.test.mjs:164-167,KEEP + IMPROVE,P2,Phase 2,Low,not assessed in round 1,none found — old-tag had **no thread table**,"lib/services-marketplace-schema.ts:283-291 service_message_threads PK (thread_type, thread_id); ensureContextThread lib/services/marketplace.ts:1824-1851",none,Persisted per-thread title/link || admin: none
MSG-044,ROUND-1 (V2 lineage),J,Identity rekey,email→uuid migration path,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL — **but only for the raw-SQL family**; the Drizzle family keys on users.id uuid and is not covered,NOT APPLICABLE,n/a,n/a,FULL,n/a,NONE,n/a,tests/messages-contract.test.mjs:67,KEEP,P2,—,Low,not assessed in round 1,none found,lib/services/identity.ts:58-59 rekeys service_messages.sender_user_id and service_message_participants.user_id,none,Rewriting the user key on all messaging rows || admin: none
MSG-045,ROUND-1 (V2 lineage),J,Outbox events,durable message fan-out,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**STUB** — processOutbox has **zero callers** (no cron, no route, no script) and even when called it only flips status='processed' without dispatching anything (:2145-2148). Events accumulate forever",NOT APPLICABLE,n/a,PARTIAL,FULL,n/a,NONE,NONE,none,FIX REGRESSION,P1,Phase 2,Med,not assessed in round 1,none found,lib/services/marketplace.ts:1883 enqueues SERVICE_MESSAGE; :2126-2134 enqueueOutbox; :2136-2157 processOutbox,none,Queue for downstream delivery (email/push) || admin: none
MSG-046,ROUND-1 (V2 lineage),J,Audit trail,message send auditing,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,FULL — carried forward with IP added,NOT APPLICABLE,n/a,FULL,FULL,n/a,NONE,n/a,none,KEEP,P3,—,Low,not assessed in round 1,"hist/old-tag/lib/services/core.ts:520 writeAudit(""service_message.send"")","lib/services/marketplace.ts:1885 same action, plus IP (app/api/service-messages/route.ts:41)",none,Immutable record of who sent what || admin: none
MSG-047,ROUND-1 (V2 lineage),J,Message ordering,chronological order,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,"PARTIAL — one family correct, one inverted",NOT APPLICABLE,BROKEN (Drizzle UI),PARTIAL,n/a,n/a,NONE,n/a,none,MERGE INTO NEW SYSTEM,P1,Phase 1,Med,not assessed in round 1,hist/old-tag/lib/services/core.ts:527 ORDER BY created_at ASC,raw-SQL family ASC (lib/services/marketplace.ts:1892) — correct; **Drizzle family orderBy(desc(messages.createdAt))** (app/api/messages/[id]/route.ts:12) then app/messages/[id]/page.tsx:27 appends the new message to the **end** of a descending list,none,Messages in the right order || admin: none
MSG-048,ROUND-1 (V2 lineage),J,Sender identity rendering,"""mine"" vs ""theirs"" bubbles",NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"PARTIAL — correct in one family, hardcoded-broken in the other. Neither shows a display name or avatar; identity is a raw email address",NOT APPLICABLE,PARTIAL,n/a,n/a,n/a,NONE,n/a,none,MERGE INTO NEW SYSTEM,P1,Phase 1,Med,not assessed in round 1,none found (no UI),"raw-SQL UI compares message.sender_user_id === viewerEmail (ThreadMessages.tsx:81) — works; **Drizzle UI compares m.senderId === 'me'** (app/messages/[id]/page.tsx:38-39) — a literal string that is never a user id, so **every** message renders as received",none,Visual sender attribution || admin: none
MSG-049,ROUND-1 (V2 lineage),J,Thread creation authorization,who may start/join a thread,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,NOT APPLICABLE,"**BROKEN · SECURITY** (Phase 0 P0-3, docs/release/PHASE-0-BASELINE.md:480,576)",NOT APPLICABLE,n/a,BROKEN,n/a,**NONE**,NONE,n/a,"not covered — tests/messages-contract.test.mjs:128-141 calls startMessageThread directly and asserts the outsider is denied *afterwards*, never that self-enrolment is blocked",FIX REGRESSION,**P0**,Phase 1,High,not assessed in round 1,hist/old-tag — no thread creation at all,"lib/services/marketplace.ts:1985-2007 — **no authorization whatsoever**; app/api/service-messages/threads/route.ts:19-46 checks only that a session exists. Any logged-in user can ensureMessageParticipant themselves (and arbitrary third parties) into any general/property/property_request/organization thread, after which isThreadParticipant returns true (:1933-1937)",none,Guard on startMessageThread || admin: none
MSG-050,ROUND-1 (V2 lineage),J,Entry points,StartThreadButton wiring,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**BROKEN** — effectively zero working entry points,NOT APPLICABLE,BROKEN,FULL,n/a,n/a,NONE,n/a,tests/messages-contract.test.mjs:73 asserts only that the URL string appears,FIX REGRESSION,**P0**,Phase 1,High,not assessed in round 1,none found,"src/components/services/StartThreadButton.tsx:12-56. **Only 2 call sites**: app/properties/[id]/page.tsx:225 (broken, MSG-002) and src/components/public/organization-profile-page.tsx:186 (dead file, MSG-014). Redirect is also broken: it reads data.thread.thread_type (:39) but startMessageThread returns **camelCase** threadType (lib/services/marketplace.ts:2000-2006) → ?open=undefined%3Aundefined",none,Buttons that actually start a conversation || admin: none
MSG-051,ROUND-1 (V2 lineage),J,Contract test,messages-contract suite,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"PARTIAL — 7 tests, but they are largely **grep-of-source assertions** (:43-73) rather than behaviour; and :81-83 **encodes the cross-provider leak as expected behaviour**. Not runnable here (tsx absent)",NOT APPLICABLE,n/a,n/a,n/a,n/a,NONE,n/a,SOURCE VERIFIED,KEEP + IMPROVE,P0,Phase 1,High,not assessed in round 1,none found,tests/messages-contract.test.mjs:1-211; registered package.json:13,none,Guard that one core serves seven contexts || admin: none
MSG-052,ROUND-1 (V2 lineage),J,Family C: HTTP proxy,/api/services/messages,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL (was the only API),"PARTIAL — preserves the URL but loses the old GET query contract: old accepted ?threadType&threadId (hist/old-tag/…:54-61); the proxy forwards GET to /api/service-messages, which **has no GET handler** (app/api/service-messages/route.ts exports POST only) → 405",NOT APPLICABLE,n/a,REGRESSION,n/a,inherited,NONE,n/a,none,MERGE INTO NEW SYSTEM,P1,Phase 1,Med,not assessed in round 1,hist/old-tag/app/api/services/messages/route.ts (the real implementation),"app/api/services/messages/route.ts:5-24 — rewrites the path and re-issues the request over fetch, forwarding **all raw headers** including cookie and authorization",none,Compatibility shim for the old-generation URL || admin: none
MSG-053,ROUND-1 (V2 lineage),J,Family A: Drizzle API,"/api/messages, /api/messages/[id]",NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**BROKEN · SECURITY** — [id] GET and POST have **no participant check at all** ([id]/route.ts:11-12,25-27), messageParticipants is not even imported (:3). Phase 0 P0-1 (docs/release/PHASE-0-BASELINE.md:480,574)",NOT APPLICABLE,n/a,BROKEN,**table has no migration**,**NONE**,NONE,NONE,none,MERGE INTO NEW SYSTEM,**P0**,Phase 1,High,not assessed in round 1,none found,app/api/messages/route.ts:7-49; app/api/messages/[id]/route.ts:7-32,none,Postgres/Drizzle messaging API || admin: none
MSG-054,ROUND-1 (V2 lineage),J,Family A: Drizzle UI,"/messages, /messages/[id]",NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"**BROKEN** — :26 reads t.threads.id; the API returns Drizzle join rows keyed message_threads/message_participants (app/api/messages/route.ts:12-16), so the key does not exist. No nav link anywhere points to /messages. Phase 0 records /messages returning 200 (docs/release/PHASE-0-BASELINE.md:303) — it renders the empty state",NOT APPLICABLE,BROKEN,BROKEN,n/a,n/a,NONE,NONE,none,MERGE INTO NEW SYSTEM,P1,Phase 1,Med,not assessed in round 1,none found,app/messages/page.tsx:5-33; app/messages/[id]/page.tsx:5-53,none,Standalone messages pages || admin: none
MSG-055,ROUND-1 (V2 lineage),J,Family A: schema,message_threads / message_participants / messages / message_attachments,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,**DECLARED ONLY — no migration creates these tables.** grep for message across drizzle/*.sql and drizzle-pg/*.sql returns zero hits. Every /api/messages* call therefore hits a missing relation at runtime,NOT APPLICABLE,n/a,n/a,**MISSING**,n/a,NONE,NONE,none,MERGE INTO NEW SYSTEM,P1,Phase 1,High,not assessed in round 1,none found,"lib/db/schemas/messages-schema.ts:4,17,26,38",none,Postgres messaging tables || admin: none
